iter	Logloss
309	0.2760422123
310	0.2759996034
311	0.27596848
312	0.2759333958
313	0.2759030501
314	0.2758790609
315	0.2758382831
316	0.2758240027
317	0.2757686686
318	0.2757448132
319	0.2757201001
320	0.2757081905
321	0.2756511779
322	0.2756147474
323	0.2755897087
324	0.2755629487
325	0.2755519572
326	0.2755336442
327	0.2755306859
328	0.2754946519
329	0.2754744056
330	0.2754302722
331	0.2754025547
332	0.2753662901
333	0.2753325298
334	0.2753100061
335	0.2752933264
336	0.2752691493
337	0.2752403647
338	0.2752375886
339	0.2752091356
340	0.2751801169
341	0.2751702974
342	0.2751330376
343	0.2751020202
344	0.2750784573
345	0.2750353013
346	0.2750327436
347	0.2749920176
348	0.2749882994
349	0.2749871906
350	0.274979255
351	0.2749483746
352	0.2749176704
353	0.2748559081
354	0.2748558804
355	0.2748099275
356	0.2747738558
357	0.274727622
358	0.2747152937
359	0.2746990184
360	0.2746535853
361	0.2746297664
362	0.2745916852
363	0.2745739231
364	0.274531633
365	0.2744974252
366	0.274471442
367	0.274415977
368	0.2743974712
369	0.2743591811
370	0.274316046
371	0.2742823513
372	0.2742480925
373	0.2742285573
374	0.274197438
375	0.2741929279
376	0.2741739673
377	0.2741357963
378	0.2740889913
379	0.2740655371
380	0.2740644572
381	0.2740047277
382	0.2739465844
383	0.2739056889
384	0.2738854882
385	0.2738814866
386	0.2738562835
387	0.2738125556
388	0.2737945996
389	0.2737566455
390	0.2737236893
391	0.2736920344
392	0.273674703
393	0.2736432391
394	0.2736120991
395	0.2735636575
396	0.2735490496
397	0.2735102019
398	0.2734867112
399	0.2734485768
400	0.273424899
401	0.2734052525
402	0.2733741369
403	0.2733512477
404	0.2733044261
405	0.2733039379
406	0.2732705562
407	0.2732402154
408	0.2731958925
409	0.2731782159
410	0.2731612573
411	0.2731391429
412	0.2731146731
413	0.2730824415
414	0.2730819648
415	0.2730333881
416	0.2729982533
417	0.2729887394
418	0.2729724511
419	0.2729506901
420	0.2729146594
421	0.2728589887
422	0.2728510985
423	0.272835778
424	0.2728347401
425	0.2727933047
426	0.2727656445
427	0.2727416985
428	0.2727264411
429	0.2727254715
430	0.2726833106
431	0.2726579535
432	0.2726005664
433	0.2725823014
434	0.2725550084
435	0.272511312
436	0.2724897896
437	0.2724659921
438	0.2724396153
439	0.2723967886
440	0.2723699189
441	0.2723505586
442	0.2723416381
443	0.2722993965
444	0.272258161
445	0.2722304427
446	0.2722000082
447	0.2721863643
448	0.2721666423
449	0.272154121
450	0.2721406679
451	0.2721050905
452	0.2720846753
453	0.2720713517
454	0.2720665502
455	0.2720181758
456	0.2720025433
457	0.2719794687
458	0.2719406442
459	0.2719048458
460	0.2718632908
461	0.2718462761
462	0.2718192256
463	0.2717919618
464	0.2717706863
465	0.2717415003
466	0.2716985991
467	0.2716663799
468	0.2716456983
469	0.2716232772
470	0.2716110549
471	0.2715682955
472	0.2715308985
473	0.2714941171
474	0.2714810806
475	0.2714510234
476	0.2714080471
477	0.2714026099
478	0.271381598
479	0.2713443815
480	0.2713350662
481	0.2713198474
482	0.2713169718
483	0.2713097548
484	0.2713024792
485	0.2712856643
486	0.2712622063
487	0.2712349895
488	0.2711880327
489	0.2711490725
490	0.2711426672
491	0.2711115108
492	0.2711027574
493	0.2710829936
494	0.2710599676
495	0.2710459641
496	0.2710183264
497	0.2710028137
498	0.2709871557
499	0.2709751145
